Name,Ticker
CASTLETON TECHNOLOGY PLC,LON:CTP
CATALYST MEDIA GROUP PLC,LON:CMX
CATCO REINSURANCE OPPORTUNITIES FUND LIMITED,LON:CAT
CATCO REINSURANCE OPPORTUNITIES FUND LIMITED,LON:CATC
CATENAE INNOVATION PLC,LON:CTEA
CATHAY INTERNATIONAL HOLDINGS LD,LON:CTI
C&C GROUP PLC,LON:CCR
CC JAPAN INCOME & GROWTH TRUST PLC,LON:CCJI
CELLCAST PLC,LON:CLTV
CELLO HEALTH PLC,LON:CLL
CELTIC PLC,LON:CCP
CELTIC PLC,LON:CCPA
CELTIC PLC,LON:CCPC
CENKOS SECURITIES PLC,LON:CNKS
CENTAMIN PLC,LON:CEY
CENTAUR MEDIA PLC,LON:CAU
CENTRAL ASIA METALS PLC,LON:CAML
CENTRALNIC GROUP PLC,LON:CNIC
CENTRICA PLC,LON:CNA
CEPS PLC,LON:CEPS
CERES POWER HOLDINGS PLC,LON:CWR
CERILLION PLC,LON:CER
CHAARAT GOLD HOLDINGS LTD,LON:CGH
CHAGALA GROUP LIMITED,LON:CGLO
CHALLENGER ACQUISITIONS LIMITED,LON:CHAL
CHAMBERLIN PLC,LON:CMH
CHARACTER GROUP PLC,LON:CCT
CHARIOT OIL & GAS LIMITED,LON:CHAR
CHARLES STANLEY GROUP PLC,LON:CAY
CHARLES TAYLOR PLC,LON:CTR
CHARTER COURT FINANCIAL SERVICES GROUP PLC,LON:CCFS
CHELVERTON GROWTH TRUST PLC,LON:CGW
CHELVERTON UK DIVIDEND TRUST PLC,LON:SDV
CHEMRING GROUP PLC,LON:BC88
CHEMRING GROUP PLC,LON:CHG
CHENAVARI CAPITAL SOLUTIONS LIMITED,LON:CCSL
CHENAVARI TORO INCOME FUND LIMITED,LON:TORO
CHESNARA PLC,LON:CSN
CHESTERFIELD RESOURCES PLC,LON:CHF
CHINA NEW ENERGY LIMITED,LON:CNEL
CHINA NONFERROUS GOLD LIMITED,LON:CNG
